outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;2;Kitten;False;;gray;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Female;Yes;1095;Cat;True;;white;black;maine coon;
Transfer;Male;No;14;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;4380;Cat;False;tabby;orange;;cymric;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;210;Cat;False;;blue;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Euthanasia;Female;No;730;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;tabby;brown;;domestic mediumhair;
Transfer;Male;Yes;3650;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;2;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;2555;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;730;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;4;Kitten;False;;white;blue;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;white;domestic longhair;
Transfer;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;90;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Male;No;730;Cat;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;smoke;black;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;tabby;white;brown;domestic shorthair;
Transfer;Female;No;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;silver ;white;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic mediumhair;
Transfer;Female;No;180;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Died;Male;No;30;Kitten;False;;black;white;domestic shorthair;
Return to Owner;Male;Yes;2555;Cat;True;;blue;;russian blue;
Adoption;Female;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;gray;;domestic longhair;
Transfer;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;120;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;True;point;seal;;siamese;japanese bobtail
Transfer;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;1825;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;240;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;150;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic longhair;
Transfer;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;black;white;domestic mediumhair;
Transfer;Male;Yes;3650;Cat;False;tabby;silver;;domestic longhair;
Transfer;Female;No;28;Kitten;False;tabby;gray ;white;domestic longhair;
Transfer;Male;Yes;2920;Cat;False;;black;;domestic shorthair;
Return to Owner;Female;Yes;5110;Cat;False;;blue;white;domestic shorthair;
Died;Female;Yes;365;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;;black;;domestic mediumhair;
Adoption;Female;Yes;1825;Cat;False;;blue;;domestic mediumhair;
Transfer;Female;No;365;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic mediumhair;
Transfer;Male;No;21;Kitten;False;tabby;orange ;black;domestic shorthair;
Transfer;Male;No;180;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;;domestic shorthair;
Transfer;Male;No;1095;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;1825;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;240;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;;black;black;domestic longhair;
Transfer;Male;No;90;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;white;black;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;7;Kitten;True;point;seal;;siamese;
Transfer;Female;No;28;Kitten;False;tabby;black ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic longhair;
Adoption;Female;Yes;300;Cat;False;;black;white;domestic shorthair;
Transfer;Male;Yes;2190;Cat;False;tabby;white;blue;domestic shorthair;
Transfer;Female;Yes;1;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;3650;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;Yes;5475;Cat;False;;black;white;domestic longhair;
Died;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;Yes;3650;Cat;False;;white;black;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;1095;Cat;True;point;lilac;;siamese;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;28;Kitten;True;point;seal;;siamese;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;white;brown;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;white;domestic longhair;
Adoption;Female;Yes;210;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;120;Kitten;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;240;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;point;seal ;white;snowshoe;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Male;Yes;1825;Cat;False;tabby;white;brown;domestic mediumhair;
Transfer;Female;No;2;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic mediumhair;
Return to Owner;Female;Yes;2920;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;point;seal;;siamese;
Adoption;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;;blue;;domestic longhair;
Return to Owner;Male;Yes;210;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;Yes;730;Cat;False;;cream;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Female;No;730;Cat;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Return to Owner;Male;Yes;2555;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;True;point;seal;;siamese;
Adoption;Female;No;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;;domestic shorthair;
Euthanasia;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;True;point;seal;;siamese;
Transfer;Male;No;21;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;1825;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;orange;;domestic shorthair;
Return to Owner;Female;Yes;1095;Cat;False;;black;;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;white;blue;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Euthanasia;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;;black;white;domestic mediumhair;
Transfer;Male;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;1825;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;white;brown;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;point;seal ;white;snowshoe;
Transfer;Female;No;21;Kitten;False;smoke;black;;domestic longhair;
Died;Male;No;30;Kitten;False;;black;;domestic longhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic longhair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;210;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Died;Female;No;7;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;1825;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;tabby;brown ;white;domestic longhair;
Transfer;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;2555;Cat;False;tabby;white;brown;domestic shorthair;
Transfer;Female;No;4;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;orange;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;True;;black;white;persian;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic longhair;
Transfer;Female;No;365;Cat;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;point;lynx ;white;domestic mediumhair;
Transfer;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;2;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;cream ;white;domestic mediumhair;
Transfer;Female;No;21;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;330;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue;;domestic longhair;
Transfer;Female;Yes;210;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;7;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;3;Kitten;False;;white;black;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;;brown;;domestic shorthair;
Transfer;Female;Yes;5475;Cat;False;tortie;Breed Specific;;domestic mediumhair;
Transfer;Female;No;14;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;black;;domestic mediumhair;
Transfer;Male;No;7;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Adoption;Female;Yes;90;Kitten;True;point;lynx;;siamese;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;tabby;blue;;manx;
Adoption;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;;chocolate;;havana brown;
Transfer;Female;Yes;5;Kitten;False;;orange;;domestic shorthair;
Transfer;Male;No;3;Kitten;False;;cream;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;cream;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;4;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;gray;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;cream ;white;domestic shorthair;
Transfer;Male;Yes;60;Kitten;True;;black;black;american shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Male;Yes;1460;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;point;seal ;white;snowshoe;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic longhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;True;point;seal;;siamese;
Transfer;Female;Yes;1095;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;;domestic longhair;
Adoption;Female;Yes;2555;Cat;False;;white;;domestic shorthair;
Transfer;Male;No;30;Kitten;True;point;lynx;;siamese;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;blue;white;domestic shorthair;
Rto-Adopt;Male;Yes;4380;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Died;Male;No;30;Kitten;True;point;lynx;;siamese;
Transfer;Female;No;270;Cat;False;calico;Breed Specific;;domestic longhair;
Transfer;Female;No;28;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;3650;Cat;False;tabby;black ;white;domestic shorthair;
Adoption;Female;No;30;Kitten;True;point;seal;;siamese;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;;black;;domestic mediumhair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Euthanasia;Female;No;60;Kitten;False;tabby;brown;;domestic mediumhair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;True;;blue;;russian blue;
Adoption;Male;Yes;330;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;2920;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;black;domestic shorthair;
Euthanasia;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;;black;white;domestic mediumhair;
Transfer;Male;No;30;Kitten;True;point;lynx;;siamese;
Adoption;Female;Yes;3650;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;point;lynx;;siamese;
Transfer;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;1825;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;270;Cat;False;;white;black;domestic shorthair;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;tabby;orange;;domestic shorthair;
Died;Female;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;210;Cat;False;tabby;white;brown;domestic shorthair;
Transfer;Female;Yes;14;Kitten;True;;black;black;american shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Rto-Adopt;Male;Yes;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;1095;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;white;cream;domestic shorthair;
Euthanasia;Female;Yes;3650;Cat;False;;black;;domestic shorthair;
Transfer;Male;Yes;1460;Cat;False;tabby;brown ;white;munchkin longhair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic mediumhair;
Transfer;Male;No;7;Kitten;False;;black;;domestic mediumhair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange ;white;domestic shorthair;
Euthanasia;Male;No;730;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;white;domestic longhair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;white;brown;domestic mediumhair;
Transfer;Male;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;white;black;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue;;domestic longhair;
Transfer;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;tortie;Breed Specific;;domestic mediumhair;
Return to Owner;Male;Yes;1825;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;3285;Cat;False;tabby;orange ;white;domestic longhair;
Transfer;Female;Yes;730;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;2920;Cat;False;tabby;brown ;white;domestic mediumhair;
Transfer;Male;No;28;Kitten;False;tabby;orange;;domestic longhair;
Transfer;Male;No;120;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;6;Kitten;False;;black;white;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;orange;;domestic shorthair;
